,Date,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,count,count_xgb1,count_xgb2,count_dt,count_lr,error_xgb1,error_xgb2,error_dt,error_lr,count_xgb_day,count_xgb_night,error_xgb_day,error_xgb_night,count_xgb_summer,count_xgb_winter,error_xgb_summer,error_xgb_winter
4284,2018-05-28,12,26.3,44,1.8,2000,13.0,3.24,0.0,0.0,Spring,No Holiday,Yes,1139,1122.702,1161.8259,1273.0,1044.20780858317,16.2979736328125,-22.825927734375,-134.0,94.79219141683006,1397.8081,2183.13,-258.80810546875,-1044.1298828125,1152.3354,428.00732,-13.33544921875,710.99267578125
8637,2018-11-25,21,4.7,81,1.0,437,1.7,0.0,0.0,0.4,Autumn,No Holiday,Yes,546,622.9132,557.4486,570.0,812.7450421351489,-76.9132080078125,-11.4486083984375,-24.0,-266.7450421351489,291.39734,497.9978,254.6026611328125,48.002197265625,1778.2095,278.05005,-1232.20947265625,267.949951171875
5337,2018-07-11,9,25.6,96,0.6,450,24.9,0.41,0.0,0.0,Summer,No Holiday,Yes,634,808.9327,551.93097,846.0,704.8380032133258,-174.93267822265625,82.06903076171875,-212.0,-70.8380032133258,894.3872,618.1334,-260.38720703125,15.8665771484375,698.7976,333.05542,-64.797607421875,300.944580078125
1058,2018-01-14,2,-3.5,78,1.0,444,-6.7,0.0,0.0,0.0,Winter,No Holiday,Yes,111,172.72153,80.728516,115.0,-291.3320561775223,-61.721527099609375,30.271484375,-4.0,402.3320561775223,148.05344,144.53368,-37.053436279296875,-33.53367614746094,500.8034,105.48366,-389.80340576171875,5.5163421630859375
967,2018-01-10,7,-8.0,70,1.8,2000,-12.5,0.0,0.0,0.7,Winter,No Holiday,Yes,158,263.80554,204.91382,294.0,-145.55613944065993,-105.8055419921875,-46.913818359375,-136.0,303.55613944065993,79.32374,18.639563,78.67626190185547,139.36043739318848,429.86496,172.59929,-271.8649597167969,-14.599288940429688
1074,2018-01-14,18,4.1,53,1.3,1132,-4.6,0.0,0.0,0.0,Winter,No Holiday,Yes,250,448.8831,619.7373,208.0,575.2581981799661,-198.88308715820312,-369.7373046875,42.0,-325.25819817996614,383.00595,297.41147,-133.00595092773438,-47.411468505859375,2040.672,482.62305,-1790.6719970703125,-232.623046875
1681,2018-02-09,1,-4.8,44,1.1,1432,-15.2,0.0,0.0,0.0,Winter,No Holiday,Yes,159,189.03143,157.51361,159.0,-53.30269652429382,-30.03143310546875,1.48638916015625,0.0,212.30269652429382,410.73483,220.84335,-251.73483276367188,-61.843353271484375,944.29895,131.1917,-785.2989501953125,27.808303833007812
6191,2018-08-15,23,28.5,69,1.1,2000,22.2,0.0,0.0,0.0,Summer,Holiday,Yes,1008,1231.4656,1034.6398,1365.0,1325.9750991749702,-223.465576171875,-26.6397705078125,-357.0,-317.9750991749702,280.92136,1114.507,727.0786437988281,-106.5069580078125,1120.8168,542.1672,-112.8167724609375,465.83282470703125
5463,2018-07-16,15,33.4,44,3.1,1928,19.4,2.95,0.0,0.0,Summer,No Holiday,Yes,745,771.3051,747.64777,946.0,1355.9040791463044,-26.30511474609375,-2.64776611328125,-201.0,-610.9040791463044,823.6672,1284.302,-78.66717529296875,-539.302001953125,670.4001,470.4915,74.59991455078125,274.5085144042969
3339,2018-04-19,3,8.6,53,1.5,1185,-0.4,0.0,0.0,0.0,Spring,No Holiday,Yes,206,256.40884,156.82834,149.0,515.0076947027451,-50.408843994140625,49.171661376953125,57.0,-309.0076947027451,547.4549,512.3459,-341.45489501953125,-306.34588623046875,360.34097,110.78927,-154.34097290039062,95.21073150634766
5651,2018-07-24,11,33.9,46,1.6,1387,20.6,2.15,0.0,0.0,Summer,No Holiday,Yes,620,678.95703,615.9088,522.0,1272.8127150333378,-58.95703125,4.0911865234375,98.0,-652.8127150333378,722.7159,1401.712,-102.71588134765625,-781.7120361328125,607.0115,585.823,12.988525390625,34.177001953125
1219,2018-01-20,19,3.5,66,1.7,187,-2.2,0.0,0.0,0.0,Winter,No Holiday,Yes,223,365.78226,149.33632,183.0,479.076497202857,-142.78225708007812,73.66368103027344,40.0,-256.076497202857,399.2457,197.88965,-176.24569702148438,25.1103515625,2253.7244,327.67825,-2030.724365234375,-104.67825317382812
567,2017-12-24,15,2.9,90,2.0,380,1.4,0.08,3.5,0.0,Winter,Holiday,Yes,38,152.23572,1.4146624,152.0,-188.9181566007834,-114.2357177734375,36.58533763885498,-114.0,226.9181566007834,-29.630596,193.00168,67.63059616088867,-155.00167846679688,-9.581784,24.350183,47.58178424835205,13.649816513061523
1864,2018-02-16,16,3.3,38,3.8,1921,-9.6,1.33,0.0,0.0,Winter,Holiday,Yes,189,336.0516,286.97888,262.0,435.2946527989163,-147.05160522460938,-97.9788818359375,-73.0,-246.29465279891627,333.27554,467.4744,-144.27554321289062,-278.4743957519531,1359.4596,268.3822,-1170.4595947265625,-79.3822021484375
2310,2018-03-07,6,2.4,65,1.8,1989,-3.5,0.0,0.0,0.0,Spring,No Holiday,Yes,232,191.87642,194.61063,101.0,352.72214371690006,40.12358093261719,37.389373779296875,131.0,-120.72214371690006,310.86392,270.28653,-78.86392211914062,-38.286529541015625,231.2871,158.12363,0.7129058837890625,73.87637329101562
6395,2018-08-24,11,26.2,76,2.6,1995,21.6,0.88,0.0,0.0,Summer,No Holiday,Yes,415,819.10315,714.66473,887.0,966.1799004755126,-404.1031494140625,-299.66473388671875,-472.0,-551.1799004755126,854.90247,2583.3418,-439.9024658203125,-2168.341796875,619.3767,617.3067,-204.376708984375,-202.30670166015625
3265,2018-04-16,1,7.6,62,1.2,1885,0.7,0.0,0.0,0.0,Spring,No Holiday,Yes,226,351.68494,362.636,407.0,359.67227652089537,-125.6849365234375,-136.635986328125,-181.0,-133.67227652089537,480.16867,310.75247,-254.16867065429688,-84.75247192382812,849.04395,258.3847,-623.0439453125,-32.38470458984375
3112,2018-04-09,16,15.3,24,1.5,1534,-5.1,2.0,0.0,0.0,Spring,No Holiday,Yes,1185,1065.871,1108.7913,1440.0,1078.0704511645222,119.1290283203125,76.208740234375,-255.0,106.92954883547782,812.78705,1164.053,372.21295166015625,20.947021484375,1535.1946,636.4204,-350.194580078125,548.57958984375
5985,2018-08-07,9,29.3,66,1.1,2000,22.2,1.07,0.0,0.0,Summer,No Holiday,Yes,961,856.15704,943.9044,924.0,1030.5482994085328,104.84295654296875,17.0955810546875,37.0,-69.54829940853278,1011.5725,2446.3772,-50.572509765625,-1485.377197265625,952.8781,573.0162,8.12188720703125,387.98382568359375
1786,2018-02-13,10,-2.4,41,1.5,1905,-13.8,1.19,0.0,0.0,Winter,No Holiday,Yes,200,298.64276,216.33917,273.0,202.43132107926527,-98.64276123046875,-16.33917236328125,-73.0,-2.431321079265274,254.05983,475.11594,-54.05982971191406,-275.1159362792969,815.2344,215.78181,-615.234375,-15.781814575195312
2171,2018-03-01,11,0.8,52,4.6,1035,-7.9,2.2,0.0,0.0,Spring,Holiday,Yes,239,395.67612,265.1336,311.0,307.95938721079216,-156.67611694335938,-26.13360595703125,-72.0,-68.95938721079216,335.2909,525.53705,-96.2908935546875,-286.53704833984375,1081.7634,231.1793,-842.763427734375,7.8206939697265625
2837,2018-03-29,5,12.7,83,0.8,392,9.8,0.0,0.0,0.0,Spring,No Holiday,Yes,106,258.69904,209.75647,265.0,399.86153958063943,-152.69903564453125,-103.7564697265625,-159.0,-293.86153958063943,507.00006,224.94414,-401.00006103515625,-118.94413757324219,267.0193,218.5576,-161.019287109375,-112.55760192871094
3324,2018-04-18,12,16.5,17,3.3,1819,-8.6,3.13,0.0,0.0,Spring,No Holiday,Yes,1047,913.02716,815.6457,845.0,963.1676934043775,133.97283935546875,231.35430908203125,202.0,83.83230659562253,909.2187,1741.9028,137.78131103515625,-694.90283203125,1065.5669,471.39417,-18.56689453125,575.6058349609375
5852,2018-08-01,20,34.5,62,2.8,1701,26.1,0.02,0.0,0.0,Summer,No Holiday,Yes,1441,1581.6908,1492.9878,1868.0,1608.4364878184624,-140.6907958984375,-51.98779296875,-427.0,-167.4364878184624,912.62555,1779.7578,528.3744506835938,-338.7578125,1611.3765,526.6524,-170.37646484375,914.3475952148438
7393,2018-10-05,1,18.6,66,1.7,2000,12.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,735,663.29126,596.66125,487.0,760.3874319967433,71.708740234375,138.3387451171875,248.0,-25.387431996743317,237.66875,900.1009,497.3312530517578,-165.10089111328125,709.0466,312.7437,25.95343017578125,422.25628662109375
3244,2018-04-15,4,6.0,84,1.7,951,3.4,0.0,0.0,0.0,Spring,No Holiday,Yes,110,166.8963,18.819029,139.0,209.22955808478292,-56.89630126953125,91.18097114562988,-29.0,-99.22955808478292,297.02713,107.52383,-187.02713012695312,2.4761734008789062,214.54568,173.22246,-104.54568481445312,-63.22245788574219
1968,2018-02-21,0,-1.4,28,3.4,1990,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,171,204.09267,185.83394,125.0,157.76732842877908,-33.09266662597656,-14.833938598632812,46.0,13.23267157122092,575.1987,183.1526,-404.19873046875,-12.152603149414062,1040.6906,156.69162,-869.6905517578125,14.308380126953125
1050,2018-01-13,18,-2.6,73,1.0,684,-6.7,0.01,0.0,0.0,Winter,No Holiday,Yes,223,341.18463,415.2707,271.0,222.93982307314565,-118.18463134765625,-192.27069091796875,-48.0,0.060176926854353496,299.84952,301.39377,-76.84951782226562,-78.39376831054688,2159.2283,378.4094,-1936.228271484375,-155.40939331054688
351,2017-12-15,15,0.1,35,1.5,946,-13.5,0.42,0.0,0.0,Winter,No Holiday,Yes,342,306.23755,281.34048,310.0,494.74704098493567,35.762451171875,60.659515380859375,32.0,-152.74704098493567,273.25082,751.3072,68.74917602539062,-409.30718994140625,1118.9406,256.9543,-776.9405517578125,85.04568481445312
6915,2018-09-15,3,21.6,80,1.2,2000,17.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,302,367.99118,340.93182,211.0,764.3265847226364,-65.99118041992188,-38.93182373046875,91.0,-462.3265847226364,490.76062,682.971,-188.7606201171875,-380.97100830078125,213.2705,326.23337,88.72950744628906,-24.233367919921875
973,2018-01-10,13,-5.1,43,4.7,1901,-15.7,1.18,0.0,0.4,Winter,No Holiday,Yes,207,260.92154,224.48946,233.0,275.7934555962474,-53.921539306640625,-17.489456176757812,-26.0,-68.79345559624738,148.39185,515.6724,58.608154296875,-308.67242431640625,1099.5485,201.80818,-892.5484619140625,5.1918182373046875
485,2017-12-21,5,-4.3,91,1.5,233,-5.5,0.0,0.0,2.2,Winter,No Holiday,Yes,49,116.51449,10.452954,34.0,-268.33068118872586,-67.51448822021484,38.54704570770264,15.0,317.33068118872586,74.70713,144.91324,-25.707130432128906,-95.91323852539062,269.24023,74.75427,-220.240234375,-25.7542724609375
2333,2018-03-08,5,3.1,90,1.2,974,1.6,0.0,0.0,0.0,Spring,No Holiday,Yes,17,109.07086,59.35448,180.0,97.88134128466885,-92.07086181640625,-42.3544807434082,-163.0,-80.88134128466885,170.73593,82.38061,-153.73593139648438,-65.38060760498047,173.94307,98.59141,-156.9430694580078,-81.5914077758789
8287,2018-11-11,7,6.4,84,1.3,369,3.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,228,708.8136,779.2496,815.0,431.2373843266686,-480.8135986328125,-551.2495727539062,-587.0,-203.23738432666858,460.66357,377.2807,-232.66357421875,-149.28070068359375,528.21594,286.34592,-300.2159423828125,-58.345916748046875
8610,2018-11-24,18,2.6,86,1.1,834,0.4,0.0,0.0,3.5,Autumn,No Holiday,Yes,426,622.42755,632.904,420.0,738.5983268754816,-196.42755126953125,-206.90399169921875,6.0,-312.5983268754816,343.67126,401.11865,82.3287353515625,24.88134765625,1225.3678,204.32208,-799.3677978515625,221.67791748046875
5405,2018-07-14,5,24.8,86,1.6,1170,22.2,0.0,0.0,0.0,Summer,No Holiday,Yes,266,334.3321,302.8445,316.0,716.3127031646948,-68.33209228515625,-36.844512939453125,-50.0,-450.31270316469477,437.7023,367.30444,-171.70230102539062,-101.304443359375,316.76495,281.05908,-50.76495361328125,-15.05908203125
7485,2018-10-08,21,15.1,48,2.6,2000,4.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,1788,1400.5765,1679.1709,1769.0,1383.4589092523147,387.4234619140625,108.8291015625,19.0,404.5410907476853,1303.1377,1609.6914,484.8623046875,178.30859375,2025.7878,662.89294,-237.787841796875,1125.1070556640625
4740,2018-06-16,12,24.8,43,1.2,1943,11.3,3.27,0.0,0.0,Summer,No Holiday,Yes,1525,1122.702,1374.5964,1237.0,1005.3774651763596,402.2979736328125,150.403564453125,288.0,519.6225348236404,1652.2125,1910.425,-127.2125244140625,-385.425048828125,1343.7803,408.9945,181.2197265625,1116.0054931640625
865,2018-01-06,1,-4.8,54,1.2,1219,-12.7,0.0,0.0,0.0,Winter,No Holiday,Yes,222,200.3115,183.55031,162.0,-133.09114413531182,21.688507080078125,38.44969177246094,60.0,355.0911441353118,164.01453,171.41069,57.9854736328125,50.58930969238281,829.553,185.54755,-607.552978515625,36.45245361328125
2852,2018-03-29,20,15.6,64,2.7,686,8.8,0.0,0.0,0.0,Spring,No Holiday,Yes,1079,1281.2263,1215.7554,1678.0,1094.0582573068464,-202.226318359375,-136.75537109375,-599.0,-15.058257306846372,464.8051,1297.7719,614.1948852539062,-218.7718505859375,2047.2463,511.45407,-968.246337890625,567.5459289550781
2520,2018-03-16,0,8.4,86,2.2,2000,6.1,0.0,0.0,0.0,Spring,No Holiday,Yes,287,376.07376,269.52206,161.0,160.9714102793311,-89.07376098632812,17.477935791015625,126.0,126.02858972066889,415.356,437.41345,-128.35598754882812,-150.4134521484375,733.5292,405.94437,-446.5291748046875,-118.94436645507812
6777,2018-09-09,9,20.4,51,1.8,2000,9.9,1.43,0.0,0.0,Autumn,No Holiday,Yes,803,1066.3872,1202.5309,1234.0,1040.627077334988,-263.38720703125,-399.5308837890625,-431.0,-237.62707733498792,945.2021,1969.924,-142.20208740234375,-1166.9239501953125,998.9937,573.7416,-195.99371337890625,229.2584228515625
5858,2018-08-02,2,31.5,68,0.0,1504,24.8,0.0,0.0,0.0,Summer,No Holiday,Yes,459,543.763,476.8139,501.0,932.7790864455095,-84.76300048828125,-17.81390380859375,-42.0,-473.7790864455095,490.42014,682.31415,-31.420135498046875,-223.31414794921875,428.92816,327.42877,30.07183837890625,131.57122802734375
6556,2018-08-31,4,23.2,83,1.6,1102,20.1,0.0,0.0,0.0,Summer,No Holiday,Yes,170,334.3321,295.93155,222.0,673.1933350362686,-164.33209228515625,-125.93154907226562,-52.0,-503.19333503626865,330.85968,862.5293,-160.85968017578125,-692.529296875,300.06036,233.68817,-130.06036376953125,-63.68817138671875
1437,2018-01-29,21,-7.7,42,2.9,1905,-18.4,0.0,0.0,0.0,Winter,No Holiday,Yes,182,262.98825,150.5535,122.0,481.40765888541404,-80.98825073242188,31.446502685546875,60.0,-299.40765888541404,264.4909,102.74925,-82.49090576171875,79.25074768066406,2067.0044,175.17015,-1885.00439453125,6.8298492431640625
4554,2018-06-08,18,26.2,54,2.2,1183,16.1,0.88,0.0,0.0,Summer,No Holiday,Yes,3309,2311.1187,2859.6787,2162.0,1321.7264892032163,997.88134765625,449.3212890625,1147.0,1987.2735107967837,2241.0198,1971.5665,1067.980224609375,1337.4334716796875,2645.5232,790.6364,663.476806640625,2518.3635864257812
7347,2018-10-03,3,12.6,78,0.6,1907,8.8,0.0,0.0,0.0,Autumn,Holiday,Yes,497,273.6621,266.27557,170.0,407.13169550540175,223.337890625,230.72442626953125,327.0,89.86830449459825,44.35557,470.32394,452.6444282531738,26.676055908203125,285.76514,297.35995,211.23486328125,199.64004516601562
2764,2018-03-26,4,5.5,96,2.0,53,4.9,0.0,0.0,0.0,Spring,No Holiday,Yes,65,125.41711,104.138535,98.0,83.79788143386014,-60.41710662841797,-39.13853454589844,-33.0,-18.79788143386014,451.60782,58.49894,-386.6078186035156,6.501060485839844,210.43939,98.657906,-145.43939208984375,-33.65790557861328
3004,2018-04-05,4,8.8,65,2.5,2000,2.5,0.0,0.0,0.0,Spring,No Holiday,Yes,87,224.00462,89.070595,114.0,473.4416178667386,-137.00462341308594,-2.0705947875976562,-27.0,-386.4416178667386,416.05774,369.73273,-329.0577392578125,-282.73272705078125,170.85498,184.75963,-83.85498046875,-97.75962829589844
1272,2018-01-23,0,-5.3,77,3.8,894,-8.7,0.0,0.0,1.0,Winter,No Holiday,Yes,96,194.16895,161.54366,149.0,-296.3871065618911,-98.1689453125,-65.54365539550781,-53.0,392.3871065618911,170.19809,70.4186,-74.19808959960938,25.581398010253906,1072.9252,115.88247,-976.9251708984375,-19.882469177246094
8486,2018-11-19,14,10.6,34,2.8,920,-4.6,1.07,0.0,0.0,Autumn,No Holiday,Yes,793,881.34064,840.2175,1054.0,1085.9377787483795,-88.34063720703125,-47.217529296875,-261.0,-292.9377787483795,974.68634,980.2786,-181.68634033203125,-187.27862548828125,1050.243,402.1942,-257.2430419921875,390.8057861328125
8081,2018-11-02,17,17.0,36,1.5,1672,1.8,0.47,0.0,0.0,Autumn,No Holiday,Yes,1730,1668.7161,1861.8712,1085.0,1342.9086793164356,61.283935546875,-131.8712158203125,645.0,387.0913206835644,1711.8721,1917.2213,18.1279296875,-187.2213134765625,2118.9214,584.31506,-388.92138671875,1145.6849365234375
7406,2018-10-05,14,17.2,95,1.6,553,16.3,0.48,2.5,0.0,Autumn,No Holiday,Yes,17,446.48346,107.55748,71.0,639.3274055231445,-429.48345947265625,-90.55747985839844,-54.0,-622.3274055231445,-102.191895,69.48163,119.19189453125,-52.48162841796875,979.4473,334.06076,-962.4473266601562,-317.0607604980469
7014,2018-09-19,6,19.0,76,0.3,1488,14.6,0.0,0.0,0.0,Autumn,No Holiday,No,0,166.80557,84.45135,0.0,-143.9802154731891,-166.80557250976562,-84.45134735107422,0.0,143.9802154731891,-175.98625,-205.08871,175.9862518310547,205.08871459960938,309.63098,254.01015,-309.6309814453125,-254.01014709472656
8564,2018-11-22,20,3.1,42,2.4,2000,-8.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,777,825.8589,844.70874,764.0,1095.7930719312774,-48.85888671875,-67.708740234375,13.0,-318.7930719312774,391.6742,588.23895,385.3258056640625,188.76104736328125,2119.6558,342.30386,-1342.65576171875,434.6961364746094
649,2017-12-28,1,-6.6,39,1.4,2000,-18.2,0.0,0.0,0.0,Winter,No Holiday,Yes,169,187.46912,154.7077,136.0,-49.82248661404168,-18.4691162109375,14.29229736328125,33.0,218.82248661404168,283.26648,176.48007,-114.2664794921875,-7.480072021484375,812.8127,163.68896,-643.8126831054688,5.31103515625
2342,2018-03-08,14,7.7,62,2.4,1758,0.8,1.64,0.0,0.0,Spring,No Holiday,Yes,452,545.2616,448.86804,572.0,621.0565706679513,-93.2615966796875,3.1319580078125,-120.0,-169.0565706679513,391.4023,694.83374,60.597686767578125,-242.833740234375,1097.9574,433.86716,-645.9573974609375,18.132843017578125
1303,2018-01-24,7,-15.9,30,3.0,2000,-29.5,0.0,0.0,0.9,Winter,No Holiday,Yes,164,241.32475,135.10841,142.0,6.574049311734655,-77.32475280761719,28.891586303710938,22.0,157.42595068826535,242.7117,71.13018,-78.71170043945312,92.86981964111328,419.11282,148.43726,-255.11282348632812,15.562744140625
6901,2018-09-14,13,26.4,57,1.2,2000,17.1,1.8,0.0,0.0,Autumn,No Holiday,Yes,1155,1039.2723,1212.2692,972.0,1219.2241940064746,115.7276611328125,-57.2691650390625,183.0,-64.22419400647459,949.21075,2079.4705,205.78924560546875,-924.470458984375,996.1651,568.0829,158.83489990234375,586.9171142578125
3467,2018-04-24,11,14.1,62,1.6,2000,6.9,1.08,0.0,0.0,Spring,No Holiday,Yes,710,835.5685,824.61633,895.0,731.9712368887892,-125.5684814453125,-114.6163330078125,-185.0,-21.971236888789235,1229.1276,974.93524,-519.1275634765625,-264.93524169921875,775.10834,596.1842,-65.10833740234375,113.8157958984375
2028,2018-02-23,12,5.3,70,0.9,226,0.2,1.73,0.0,1.7,Winter,No Holiday,Yes,283,305.3005,203.51053,320.0,208.28989791533178,-22.300506591796875,79.48947143554688,-37.0,74.71010208466822,148.03639,540.2536,134.96360778808594,-257.25360107421875,1344.2112,298.47653,-1061.211181640625,-15.476531982421875
7869,2018-10-24,21,12.1,67,1.0,1977,6.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,1464,1189.9338,1205.8766,1380.0,1126.6591295552557,274.066162109375,258.1234130859375,84.0,337.34087044474427,320.21384,700.12885,1143.7861633300781,763.8711547851562,2226.8792,580.9785,-762.879150390625,883.021484375
2897,2018-03-31,17,17.3,36,3.4,1722,2.0,0.8,0.0,0.0,Spring,No Holiday,Yes,1531,1599.073,1641.3765,1745.0,1219.4019907496663,-68.072998046875,-110.37646484375,-214.0,311.5980092503337,1979.1752,1698.9966,-448.1751708984375,-167.99658203125,2186.9822,592.88086,-655.982177734375,938.119140625
6222,2018-08-17,6,21.8,51,2.0,2000,11.2,0.0,0.0,0.0,Summer,No Holiday,Yes,719,506.5823,441.61823,397.0,969.2751937260878,212.41769409179688,277.38177490234375,322.0,-250.27519372608776,726.0875,1466.1938,-7.0875244140625,-747.19384765625,414.24313,168.72917,304.7568664550781,550.2708282470703
3925,2018-05-13,13,19.1,65,1.9,1145,12.3,2.26,0.0,0.0,Spring,No Holiday,Yes,1839,1040.513,1285.5884,1117.0,800.1257159074096,798.487060546875,553.41162109375,722.0,1038.8742840925904,1395.0221,2284.4954,443.9779052734375,-445.495361328125,1329.2281,481.23697,509.7718505859375,1357.7630310058594
8013,2018-10-30,21,7.6,55,2.0,2000,-0.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,1147,925.48065,1039.5748,1186.0,1130.6368918401254,221.51934814453125,107.4251708984375,-39.0,16.363108159874628,788.8154,1118.7211,358.1845703125,28.2789306640625,1996.4207,469.30798,-849.420654296875,677.6920166015625
5,2017-12-01,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes,100,120.61825,31.5888,78.0,81.48132687579306,-20.618247985839844,68.41119956970215,22.0,18.51867312420694,242.98117,195.8033,-142.98117065429688,-95.80329895019531,269.8206,34.068245,-169.82058715820312,65.93175506591797
5730,2018-07-27,18,33.7,62,3.2,1082,25.3,0.87,0.0,0.0,Summer,No Holiday,Yes,2183,1729.3513,1642.2557,2274.0,1469.9175432625452,453.648681640625,540.7442626953125,-91.0,713.0824567374548,770.68994,1790.3247,1412.31005859375,392.67529296875,1494.4615,766.6393,688.5384521484375,1416.3607177734375
428,2017-12-18,20,3.3,65,3.2,1172,-2.6,0.0,0.0,2.7,Winter,No Holiday,Yes,165,350.416,263.2512,199.0,638.2982345467644,-185.41598510742188,-98.25119018554688,-34.0,-473.29823454676443,327.07437,370.47424,-162.07437133789062,-205.4742431640625,2119.5532,222.0583,-1954.55322265625,-57.05830383300781
2302,2018-03-06,22,4.5,40,1.3,1871,-7.9,0.0,0.0,0.0,Spring,No Holiday,Yes,514,504.762,501.20126,605.0,1038.1938198462417,9.238006591796875,12.798736572265625,-91.0,-524.1938198462417,169.05663,535.1058,344.94337463378906,-21.10577392578125,1865.4374,400.5941,-1351.4373779296875,113.40591430664062
1894,2018-02-17,22,-2.7,42,2.2,2000,-13.8,0.0,0.0,0.0,Winter,Holiday,Yes,123,248.80275,145.5291,133.0,494.15368148151646,-125.80274963378906,-22.529098510742188,-10.0,-371.15368148151646,42.08455,169.41873,80.91545104980469,-46.418731689453125,1676.7705,151.19241,-1553.7705078125,-28.192413330078125
